country,code,territory_code,region,year,total_population ,hospials_per_capita,cases_per_100k,total_cases,m_0to14_cases,m_15to34_cases,m_35to54_cases,m_55plus_cases,total_male_cases,f_0to14_cases,f_15to34_cases,f_35to54_cases,f_55plus_cases,total_female_cases,recovery_rate,economic_impact,case_severity,time_interval,prevelance_detection,prevelance_per_100k_ex_HIV,total_prevelance_ex_HIV,prevelance_per_100k_in_HIV,total_prevelance_in_HIV,death_detection,incidence_per_100k,total_incidence,incidence_per_100k_pos_HIV,total_incidence_pos_HIV,total_detection_rate
Albania,ALB,8,EUR,1993,3417280,5.19,33,1100,35,99,178,262,574,48,101,164,213,526,54.03,low,severe,Recovery,predicted,1.5,51,0,0,VR,24,830,19.6,3581,14.5
Albania,ALB,8,EUR,1994,3384367,5.96,33,1100,35,107,180,252,575,30,99,163,232,525,78.09,high,mild,Advanced Infection,predicted,1.8,61,0,0,VR,24,830,18.5,1504.8,86
Albania,ALB,8,EUR,1995,3357858,0.56,32,1100,45,127,187,263,622,27,95,146,210,478,50.68,medium,mild,Advanced Infection,predicted,0.68,23,0,0,VR,24,820,7.9,5165.8,78
Albania,ALB,8,EUR,1996,3341043,6.11,32,1100,48,107,159,216,530,40,112,182,236,570,70.59,low,severe,Early Detection,predicted,1.5,49,0,0,VR,24,810,14.5,2234.6,91
Albania,ALB,8,EUR,1997,3331317,1.79,32,1100,43,111,171,238,563,46,103,161,227,537,53.67,low,mild,Early Detection,predicted,0.84,28,0,0,VR,24,810,7.3,3545.2,81
Albania,ALB,8,EUR,1998,3325456,0.74,36,1200,39,102,167,235,543,47,127,200,283,657,70.26,high,moderate,Early Detection,predicted,0.94,31,0,0,VR,26,860,29.6,1378.3,80
Albania,ALB,8,EUR,1999,3317941,9.49,41,1400,57,135,204,283,679,39,145,232,306,721,52,medium,mild,Recovery,predicted,0.79,26,0,0,VR,27,910,8,252.3,80
Albania,ALB,8,EUR,2000,3304948,9.66,30,980,38,108,187,254,587,28,80,118,167,393,91.76,low,moderate,Early Detection,predicted,0.82,27,0,0,VR,23,750,24.8,1058.8,81
Albania,ALB,8,EUR,2001,3286084,8.1,26,860,38,83,141,199,461,35,74,124,166,399,60.49,high,severe,Early Detection,predicted,0.68,22,0,0,VR,21,690,11.2,281.6,81
Albania,ALB,8,EUR,2002,3263596,3.12,31,1000,27,94,160,217,498,30,94,159,219,502,66.42,medium,severe,Advanced Infection,predicted,0.71,23,0,0,VR,23,740,26.4,2856.3,81
Albania,ALB,8,EUR,2003,3239385,1.07,29,950,40,101,156,214,511,34,82,141,182,439,93.5,high,severe,Advanced Infection,predicted,0.61,20,0,0,VR,21,690,21.7,3575.8,81
Albania,ALB,8,EUR,2004,3216197,6.87,30,960,44,102,164,215,524,30,86,135,185,436,87.31,high,severe,Early Detection,predicted,0.63,20,0,0,VR,21,680,17,272.3,81
Albania,ALB,8,EUR,2005,3196130,4.46,27,870,22,72,132,192,418,33,91,139,189,452,60.95,low,severe,Early Detection,predicted,0.64,21,0,0,VR imputed,20,630,27.1,551.5,81
Albania,ALB,8,EUR,2006,3179573,1.31,25,780,24,83,139,199,445,20,60,104,151,335,53.59,low,mild,Recovery,predicted,0.64,20,0,0,VR imputed,18,580,16.7,2959.5,81
Albania,ALB,8,EUR,2007,3166222,5,23,710,27,67,115,156,365,27,64,102,151,345,85.78,high,mild,Recovery,predicted,0.64,20,0,0,VR imputed,17,540,33,4871.3,81
Albania,ALB,8,EUR,2008,3156608,0.44,22,700,28,72,112,157,368,20,60,103,149,332,69.54,low,severe,Advanced Infection,predicted,0.64,20,0,0,VR imputed,17,530,29.4,3828,81
Albania,ALB,8,EUR,2009,3151185,9.1,24,770,28,79,134,183,424,20,60,109,157,346,88.3,low,mild,Early Detection,predicted,0.64,20,0,0,VR imputed,17,550,21.7,638.3,81
Albania,ALB,8,EUR,2010,3150143,2.66,23,730,27,79,123,164,393,25,62,104,146,337,72.26,medium,mild,Early Detection,predicted,0.64,20,0,0,VR imputed,17,530,35.3,5409.9,81
Albania,ALB,8,EUR,2011,3153883,6.66,22,700,28,70,115,163,376,23,61,99,141,324,67.3,medium,severe,Early Detection,predicted,0.64,20,0,0,VR imputed,17,520,33.3,5592.3,81
Albania,ALB,8,EUR,2012,3162083,3.19,21,650,20,62,97,130,309,23,58,108,151,341,72.56,high,mild,Early Detection,predicted,0.64,20,0,0,VR imputed,16,510,21.4,1980.8,81
Albania,ALB,8,EUR,2013,3173271,5.25,27,850,24,74,124,193,414,24,84,138,191,436,87.43,high,severe,Early Detection,predicted,0.64,20,0,0,VR imputed,18,590,2.8,3754.9,81
Algeria,DZA,12,AFR,1990,26239708,5.51,100,26000,1123,2693,3932,5281,13029,954,2409,4076,5532,12971,95.11,high,severe,Recovery,predicted,11,2800,0.01,3,Indirect,64,17000,0.04,11,69
Algeria,DZA,12,AFR,1991,26893663,1.93,99,27000,953,2668,4087,5618,13326,915,2695,4244,5820,13674,52.49,high,severe,Recovery,predicted,10,2700,0.01,4,Indirect,64,17000,0.05,13,66
Algeria,DZA,12,AFR,1992,27535151,9.7,100,27000,1083,2949,4394,5832,14258,863,2639,3944,5297,12742,76.21,medium,severe,Early Detection,predicted,10,2800,0.02,5,Indirect,65,18000,0.06,16,64
Algeria,DZA,12,AFR,1993,28157560,7.77,102,29000,1282,2962,4284,5938,14467,1043,2674,4523,6292,14533,51.64,low,mild,Recovery,predicted,10,2900,0.02,6,Indirect,67,19000,0.07,19,71
Algeria,DZA,12,AFR,1994,28752749,9.4,106,31000,1377,3287,4863,6770,16297,1105,2990,4371,6237,14703,73.42,medium,mild,Recovery,predicted,11,3100,0.02,7,Indirect,69,20000,0.08,24,67
Algeria,DZA,12,AFR,1995,29315463,8.96,110,32000,1238,3714,5813,7749,18514,1053,2489,4243,5700,13486,94.26,high,moderate,Early Detection,predicted,11,3300,0.03,9,Indirect,71,21000,0.1,29,65
Algeria,DZA,12,AFR,1996,29845208,6.02,114,34000,1424,3624,5861,8084,18994,933,2804,4777,6492,15006,68.08,high,moderate,Recovery,predicted,12,3500,0.04,11,Indirect,74,22000,0.12,34,70
Algeria,DZA,12,AFR,1997,30345466,9.23,119,36000,1596,4060,6534,8782,20971,789,2803,4712,6725,15029,96.62,medium,severe,Early Detection,predicted,12,3700,0.04,13,Indirect,76,23000,0.13,40,71
Algeria,DZA,12,AFR,1998,30820435,0.98,122,38000,1444,4177,6559,10005,22184,1259,3155,4830,6572,15816,81.53,medium,moderate,Recovery,predicted,13,3900,0.05,15,Indirect,79,24000,0.15,46,63
Algeria,DZA,12,AFR,1999,31276295,2.04,126,39000,1756,4184,6871,9039,21851,1105,3001,5370,7673,17149,96.71,high,mild,Early Detection,predicted,13,4100,0.05,17,Indirect,81,25000,0.17,53,66
Algeria,DZA,12,AFR,2000,31719449,0.55,129,41000,1518,3753,6130,8370,19771,1410,3974,6745,9101,21229,87.86,low,mild,Early Detection,predicted,13,4200,0.06,19,Indirect,83,26000,0.19,59,70
Algeria,DZA,12,AFR,2001,32150198,3.32,132,42000,1274,4521,7605,10311,23711,1070,3153,5845,8221,18289,55.17,high,moderate,Recovery,predicted,14,4300,0.06,20,Indirect,85,27000,0.2,65,67
Algeria,DZA,12,AFR,2002,32572977,3.95,134,44000,1384,4035,6515,8992,20926,1457,4634,7057,9927,23074,61.56,medium,moderate,Recovery,predicted,14,4500,0.07,22,Indirect,87,28000,0.22,71,67
Algeria,DZA,12,AFR,2003,33003442,2.79,136,45000,1933,4701,6991,9676,23302,1104,4378,6862,9354,21698,69.71,high,mild,Advanced Infection,predicted,14,4600,0.07,24,Indirect,88,29000,0.23,77,68
Algeria,DZA,12,AFR,2004,33461345,8.3,138,46000,1913,4750,8551,11415,26629,1469,3670,6193,8039,19371,58.51,high,moderate,Early Detection,predicted,14,4700,0.08,26,Indirect,89,30000,0.25,82,67
Algeria,DZA,12,AFR,2005,33960903,3.63,139,47000,1817,5191,8078,11432,26519,1703,3716,6504,8558,20481,74.75,low,mild,Early Detection,predicted,14,4800,0.08,27,Indirect,90,30000,0.26,87,70
Algeria,DZA,12,AFR,2006,34507214,2.88,139,48000,1867,4736,7975,10697,25275,1993,4441,6694,9597,22725,73.57,high,mild,Early Detection,predicted,14,4900,0.08,29,Indirect,90,31000,0.27,92,68
Algeria,DZA,12,AFR,2007,35097043,5.47,140,49000,2020,5311,8159,11250,26740,1961,4681,6728,8890,22260,97.81,high,moderate,Early Detection,predicted,14,5000,0.08,29,Indirect,90,32000,0.27,95,68
Algeria,DZA,12,AFR,2008,35725377,1.5,139,50000,1718,4160,7084,9821,22783,1425,4826,8925,12041,27217,71.69,high,moderate,Recovery,predicted,14,5100,0.09,31,Indirect,90,32000,0.28,99,64
Algeria,DZA,12,AFR,2009,36383302,8.04,138,50000,1408,4202,7118,9855,22583,1524,5242,8968,11683,27417,89.28,medium,severe,Recovery,predicted,14,5200,0.09,32,Indirect,89,32000,0.29,100,67
Algeria,DZA,12,AFR,2010,37062820,0.84,136,50000,1502,4778,7215,9985,23480,2060,5210,8253,10997,26520,97.1,medium,severe,Advanced Infection,predicted,14,5200,0.09,33,Indirect,87,32000,0.29,110,69
Algeria,DZA,12,AFR,2011,37762962,9.87,132,50000,1660,6001,9426,12913,30000,1605,3816,6002,8576,20000,93.85,low,severe,Early Detection,predicted,14,5200,0.09,35,Indirect,85,32000,0.3,110,67
Algeria,DZA,12,AFR,2012,38481705,7.75,129,50000,2127,5260,8028,10183,25597,1820,4795,7580,10208,24403,60.43,high,severe,Advanced Infection,predicted,13,5100,0.09,35,Indirect,83,32000,0.3,120,68
Algeria,DZA,12,AFR,2013,39208194,2.07,126,49000,1714,4894,7687,10973,25267,2129,4810,7154,9640,23733,74.8,medium,severe,Advanced Infection,predicted,13,5100,0.09,35,Indirect,81,32000,0.3,120,66
American Samoa,ASM,16,WPR,1990,47044,0.15,47,22,1,2,4,5,12,1,2,3,4,10,67.39,low,mild,Advanced Infection,predicted,6.1,2.9,0,0,Indirect,26,12,22.8,3000.9,75
American Samoa,ASM,16,WPR,1991,48379,8.17,11,5,0,0,1,1,2,0,1,1,1,3,69.99,high,moderate,Advanced Infection,predicted,0.31,0.15,0,0,Indirect,8.3,4,14.3,5742,75
American Samoa,ASM,16,WPR,1992,49597,7.1,9.4,4,0,0,1,1,2,0,0,1,1,2,68.04,low,mild,Advanced Infection,predicted,0.26,0.13,0,0,Indirect,2.7,1.3,21.7,3101,75
American Samoa,ASM,16,WPR,1993,50725,7.32,16,8,0,1,1,2,4,0,1,1,2,4,91.32,low,severe,Recovery,predicted,1.6,0.83,0,0,Indirect,10,5.3,26,5851.4,75
American Samoa,ASM,16,WPR,1994,51807,7.74,17,8,0,1,1,2,4,0,1,1,2,4,72.61,low,severe,Recovery,predicted,1.9,1,0,0,Indirect,10,5.3,25.9,1215.1,75
American Samoa,ASM,16,WPR,1995,52874,0.83,21,11,0,1,2,3,6,0,1,2,2,5,76.18,low,moderate,Advanced Infection,predicted,2.8,1.5,0,0,Indirect,12,6.1,27.1,2106.2,50
American Samoa,ASM,16,WPR,1996,53926,3.65,25,14,0,2,3,4,8,0,1,2,3,6,99.12,low,mild,Recovery,predicted,3.5,1.9,0,0,Indirect,13,7,27.3,4762.6,0
American Samoa,ASM,16,WPR,1997,54942,1.25,29,16,0,1,2,3,7,1,2,3,4,9,53,low,severe,Recovery,predicted,4.2,2.3,0,0,Indirect,15,8,4.4,4776.4,75
American Samoa,ASM,16,WPR,1998,55899,8.64,10,5,0,1,1,1,3,0,0,1,1,2,74.4,low,severe,Advanced Infection,predicted,0.92,0.51,0,0,Indirect,7.2,4,7.7,4463,75
American Samoa,ASM,16,WPR,1999,56768,6.27,16,9,0,1,1,2,5,0,1,1,2,4,88.7,high,severe,Recovery,predicted,1.8,1,0,0,Indirect,9.4,5.3,25.4,5239.7,75
American Samoa,ASM,16,WPR,2000,57522,3.38,9.3,5,0,1,1,1,3,0,0,1,1,2,57.56,high,severe,Recovery,predicted,0.68,0.39,0,0,Indirect,6.9,4,16.4,4282.3,75
American Samoa,ASM,16,WPR,2001,58176,0.73,8.7,5,0,1,1,1,3,0,0,1,1,2,80.58,low,mild,Early Detection,predicted,0.55,0.32,0,0,Indirect,6.8,4,30.7,3877.2,76
American Samoa,ASM,16,WPR,2002,58729,3.18,6.7,4,0,0,1,1,2,0,0,1,1,2,61.97,high,mild,Advanced Infection,predicted,0.18,0.11,0,0,Indirect,4.5,2.6,5,2797.3,76
American Samoa,ASM,16,WPR,2003,59117,3.32,7.7,4,0,0,1,1,2,0,0,1,1,2,93.37,low,severe,Early Detection,predicted,0.32,0.19,0,0,Indirect,6.6,3.9,7.7,2847.1,77
American Samoa,ASM,16,WPR,2004,59262,7.32,18,11,0,1,2,3,6,0,1,2,2,5,66.35,high,mild,Early Detection,predicted,2.1,1.2,0,0,Indirect,11,6.4,22.5,2475.7,78
American Samoa,ASM,16,WPR,2005,59117,6.41,23,13,1,1,3,3,8,0,1,2,2,5,66.45,medium,severe,Advanced Infection,predicted,2.8,1.7,0,0,Indirect,13,7.5,20.1,3780.5,80
American Samoa,ASM,16,WPR,2006,58652,8.88,11,6,0,1,1,1,3,0,1,1,1,3,79.91,low,moderate,Early Detection,predicted,0.9,0.53,0,0,Indirect,8.3,4.9,10.7,2478.8,82
American Samoa,ASM,16,WPR,2007,57919,4.77,7.4,4,0,0,1,1,2,0,0,1,1,2,59.18,medium,moderate,Early Detection,predicted,0.3,0.17,0,0,Indirect,6.1,3.6,16.4,899,84
American Samoa,ASM,16,WPR,2008,57053,1.28,7.5,4,0,0,1,1,2,0,0,1,1,2,64.24,low,moderate,Recovery,predicted,0.28,0.16,0,0,Indirect,6,3.4,1.4,649.3,87
American Samoa,ASM,16,WPR,2009,56245,7.16,10,5,0,0,1,1,2,0,1,1,1,3,70.83,low,mild,Early Detection,predicted,0.72,0.4,0,0,Indirect,7.9,4.5,1.5,5635.1,90
American Samoa,ASM,16,WPR,2010,55636,7.63,10,5,0,1,1,1,3,0,0,1,1,2,67.68,medium,severe,Advanced Infection,predicted,0.7,0.39,0,0,Indirect,7.8,4.3,3.8,150.8,92
American Samoa,ASM,16,WPR,2011,55274,5.66,10,5,0,1,1,1,3,0,0,1,1,2,76.24,medium,moderate,Recovery,predicted,0.76,0.42,0,0,Indirect,7.8,4.3,23.2,642.9,70
American Samoa,ASM,16,WPR,2012,55128,7.73,9.5,5,0,1,1,1,3,0,0,1,1,2,79.98,medium,moderate,Recovery,predicted,0.63,0.35,0,0,Indirect,7.3,4,34.7,2714.3,53.6
American Samoa,ASM,16,WPR,2013,55165,4.99,9.4,5,0,1,1,1,3,0,0,1,1,2,78.33,low,mild,Recovery,predicted,0.64,0.35,0,0,Indirect,7.2,4,10.5,1602.6,48.9
Andorra,AND,20,EUR,1990,54511,5.28,62,34,1,3,6,8,18,1,3,5,7,16,82.71,medium,mild,Advanced Infection,predicted,3.9,2.1,0,0,Indirect,49,26,1.4,2473.8,87
Andorra,AND,20,EUR,1991,56674,4.33,66,37,2,4,6,8,20,1,3,5,8,17,65.39,medium,moderate,Advanced Infection,predicted,5.1,2.9,0,0,Indirect,49,28,28.5,715.9,87
Andorra,AND,20,EUR,1992,58904,0.35,51,30,1,3,5,7,16,1,3,5,6,14,56.32,high,severe,Advanced Infection,predicted,2.9,1.7,0,0,Indirect,41,24,34.4,797.9,87
Andorra,AND,20,EUR,1993,61003,1.17,37,23,1,3,4,5,13,1,2,3,4,10,88.04,high,severe,Early Detection,predicted,1,0.62,0,0,Indirect,28,17,5.6,4880.4,87
Andorra,AND,20,EUR,1994,62707,0.41,66,42,2,4,7,9,21,2,4,6,9,21,92.54,medium,severe,Early Detection,predicted,6.5,4,0,0,Indirect,44,28,15.5,4627.1,87
Andorra,AND,20,EUR,1995,63854,6.4,52,33,1,3,5,7,16,1,3,5,7,17,62.85,medium,moderate,Recovery,predicted,4.3,2.8,0,0,Indirect,37,23,6.4,635.5,58
Andorra,AND,20,EUR,1996,64274,3.21,40,26,1,3,4,5,13,1,2,4,6,13,70.35,medium,mild,Recovery,predicted,2.8,1.8,0,0,Indirect,30,20,4.3,4070.5,87
Andorra,AND,20,EUR,1997,64090,5.13,53,34,1,3,5,8,18,1,3,5,7,16,74.93,medium,severe,Advanced Infection,predicted,5.4,3.5,0,0,Indirect,34,22,26.1,3714,87
Andorra,AND,20,EUR,1998,63799,9.08,23,14,1,2,2,3,8,0,1,2,3,6,76.67,high,moderate,Advanced Infection,predicted,0.62,0.39,0,0,Indirect,14,9.2,38.9,4348.3,87
Andorra,AND,20,EUR,1999,64084,2.57,20,13,1,1,2,3,6,0,1,2,3,7,82.97,low,moderate,Early Detection,predicted,0.87,0.56,0,0,Indirect,18,12,27.3,2892,87
Andorra,AND,20,EUR,2000,65399,4.16,31,20,1,2,3,4,10,1,2,3,4,10,52.08,medium,mild,Early Detection,predicted,2.9,1.9,0,0,Indirect,21,14,39.6,1645.7,87
Andorra,AND,20,EUR,2001,68000,7.58,24,16,1,2,3,4,9,0,1,2,3,7,86.07,medium,severe,Advanced Infection,predicted,1.9,1.3,0,0,Indirect,17,12,17.5,4045.4,87
Andorra,AND,20,EUR,2002,71639,2.37,13,9,0,1,2,2,5,0,1,1,2,4,53.1,high,moderate,Advanced Infection,predicted,0.37,0.26,0,0,Indirect,8,5.8,36.1,2263.6,87
Andorra,AND,20,EUR,2003,75643,0.86,26,19,1,2,3,5,11,1,1,2,3,8,73.41,medium,severe,Early Detection,predicted,2.5,1.9,0,0,Indirect,17,13,8.3,1334.6,87
Andorra,AND,20,EUR,2004,79060,2.97,12,9,0,1,2,2,5,0,1,1,2,4,91.38,medium,severe,Recovery,predicted,0.41,0.32,0,0,Indirect,10,8.1,4.7,2490.8,87
Andorra,AND,20,EUR,2005,81223,1.7,21,17,1,2,3,4,9,1,2,2,3,8,72.56,high,severe,Recovery,predicted,2,1.6,0,0,Indirect,14,12,28.3,4652.5,87
Andorra,AND,20,EUR,2006,81877,9.3,29,23,1,3,4,5,13,1,2,3,4,10,57.45,medium,moderate,Early Detection,predicted,3.4,2.8,0,0,Indirect,17,14,14.9,2900.2,87
Andorra,AND,20,EUR,2007,81292,8.1,10,8,0,1,1,2,4,0,1,1,2,4,99.25,medium,severe,Early Detection,predicted,0.27,0.22,0,0,Indirect,7.1,5.8,12.8,1827.8,87
Andorra,AND,20,EUR,2008,79969,6.37,9.5,7,0,1,1,2,4,0,1,1,1,3,94.46,high,mild,Recovery,predicted,0.26,0.21,0,0,Indirect,5.8,4.6,27,5070.6,87
Andorra,AND,20,EUR,2009,78659,8.73,18,14,1,2,2,3,8,0,1,2,3,6,88.57,low,moderate,Early Detection,predicted,1.7,1.4,0,0,Indirect,12,9.2,13.4,5374,87
Andorra,AND,20,EUR,2010,77907,8.06,15,12,0,1,2,3,7,0,1,2,2,5,70.58,medium,moderate,Recovery,predicted,1.3,1,0,0,Indirect,10,8.1,23,2640.8,87
Andorra,AND,20,EUR,2011,77865,1.95,8.4,6,0,1,1,1,3,0,1,1,1,3,59.19,medium,severe,Recovery,predicted,0.23,0.18,0,0,Indirect,4.4,3.5,12,2283.9,87
Andorra,AND,20,EUR,2012,78360,8.94,23,18,0,2,3,4,9,1,2,3,4,9,97.07,low,severe,Early Detection,predicted,2.7,2.1,0,0,Indirect,13,10,31.5,3734.7,87
Andorra,AND,20,EUR,2013,79218,5.44,8.2,6,0,1,1,1,3,0,1,1,1,3,76.62,high,severe,Advanced Infection,predicted,0.33,0.26,0,0,Indirect,7.3,5.8,12.6,353.4,87
Angola,AGO,24,AFR,1990,10333844,8.09,365,38000,1465,3714,5848,8106,19133,1474,3653,5767,7973,18867,92.62,low,moderate,Advanced Infection,predicted,47,4900,0.75,77,Indirect,207,21000,1.7,180,48
Angola,AGO,24,AFR,1991,10652727,8.97,387,41000,1148,3675,5867,7827,18517,1469,4038,6968,10008,22483,67.1,medium,mild,Advanced Infection,predicted,52,5600,1.3,140,Indirect,210,22000,2.8,300,50
Angola,AGO,24,AFR,1992,11002758,3.25,406,45000,2368,5118,7903,10961,26349,1177,3716,5900,7858,18651,66.76,low,mild,Advanced Infection,predicted,57,6200,2.1,230,Indirect,213,23000,4.2,460,48
Angola,AGO,24,AFR,1993,11372156,1.19,420,48000,1985,4219,6642,9468,22315,2016,4937,7958,10775,25685,99.28,high,moderate,Advanced Infection,predicted,60,6800,3.1,350,Indirect,217,25000,5.9,670,33
Angola,AGO,24,AFR,1994,11743432,2.36,430,50000,1261,4632,8215,11168,25276,1974,4619,7572,10560,24724,76.09,medium,mild,Advanced Infection,predicted,62,7300,4.2,500,Indirect,222,26000,7.8,920,27
Angola,AGO,24,AFR,1995,12104952,4.33,435,53000,2327,5407,8816,12009,28559,1385,4767,7911,10378,24441,57.03,high,severe,Advanced Infection,predicted,63,7600,5.4,650,Indirect,226,27000,10,1200,19
Angola,AGO,24,AFR,1996,12451945,8.2,436,54000,2443,6360,9868,13463,32133,1285,3786,6856,9939,21867,60.98,high,moderate,Early Detection,predicted,62,7700,6.5,810,Indirect,231,29000,12,1500,54
